Date,Value
1979-01-01,46.0
1980-01-01,39.0
1981-01-01,29.0
1982-01-01,37.0
1983-01-01,46.0
1984-01-01,57.0
1985-01-01,79.0
1986-01-01,40.0
1987-01-01,9.0
1988-01-01,18.0
1989-01-01,6.0
1990-01-01,5.0
1991-01-01,12.0
1992-01-01,4.0
1993-01-01,7.0
1994-01-01,8.0
1995-01-01,2.0
1996-01-01,8.0
1997-01-01,7.0
1998-01-01,4.0
1999-01-01,2.0
2000-01-01,16.0
2001-01-01,10.0
2002-01-01,9.0
2003-01-01,14.0
2004-01-01,15.0
2005-01-01,60.0
2006-01-01,42.0
2007-01-01,33.0
2008-01-01,113.0
2009-01-01,106.0
2010-01-01,124.0
2011-01-01,204.0
2012-01-01,261.0
2013-01-01,159.0
2014-01-01,206.0
2015-01-01,79.0
2016-01-01,
2017-01-01,
2018-01-01,
2019-01-01,
2020-01-01,
2021-01-01,
